v1,v2
ham,Hey! Are we still meeting today for lunch?
spam,WINNER!! You have won a $1000 Walmart gift card. Claim now!
ham,Please call me when you reach home.
spam,Congratulations! You've been selected for a FREE vacation. Reply YES to claim.
ham,Don't forget the meeting at 3 PM today.
spam,URGENT! Your bank account has been locked. Verify immediately at http://fakebank.com
ham,I will send you the notes by tonight.
spam,You won a free lottery ticket. Click the link to redeem your prize.
ham,Can you please share the assignment PDF?
spam,You have received a cash reward! Call now to claim your amount.
ham,I'll be there in 10 minutes.
spam,Exclusive deal just for you! Buy 1 get 1 free. Limited time offer!
